Date,Close
04-01-2015 16:00,40.72
04-02-2015 16:00,40.29
04-06-2015 16:00,41.55
04-07-2015 16:00,41.53
04-08-2015 16:00,41.42
04-09-2015 16:00,41.48
04-10-2015 16:00,41.72
4/13/2015 16:00:00,41.76
4/14/2015 16:00:00,41.65
4/15/2015 16:00:00,42.26
4/16/2015 16:00:00,42.16
4/17/2015 16:00:00,41.62
4/20/2015 16:00:00,42.91
4/21/2015 16:00:00,42.64
4/22/2015 16:00:00,42.99
4/23/2015 16:00:00,43.34
4/24/2015 16:00:00,47.87
4/27/2015 16:00:00,48.03
4/28/2015 16:00:00,49.16
4/29/2015 16:00:00,49.06
4/30/2015 16:00:00,48.64
05-01-2015 16:00,48.66
05-04-2015 16:00,48.24
05-05-2015 16:00,47.6
05-06-2015 16:00,46.28
05-07-2015 16:00,46.7
05-08-2015 16:00,47.75
05-11-2015 16:00,47.37
05-12-2015 16:00,47.35
5/13/2015 16:00:00,47.63
5/14/2015 16:00:00,48.72
5/15/2015 16:00:00,48.3
5/18/2015 16:00:00,48.01
5/19/2015 16:00:00,47.58
5/20/2015 16:00:00,47.58
5/21/2015 16:00:00,47.42
5/22/2015 16:00:00,46.9
5/26/2015 16:00:00,46.59
5/27/2015 16:00:00,47.61
5/28/2015 16:00:00,47.45
5/29/2015 16:00:00,46.86
06-01-2015 16:00,47.23
06-02-2015 16:00,46.92
06-03-2015 16:00,46.85
06-04-2015 16:00,46.36
06-05-2015 16:00,46.14
06-08-2015 16:00,45.73
06-09-2015 16:00,45.65
06-10-2015 16:00,46.61
06-11-2015 16:00,46.44
06-12-2015 16:00,45.97
6/15/2015 16:00:00,45.48
6/16/2015 16:00:00,45.83
6/17/2015 16:00:00,45.97
6/18/2015 16:00:00,46.72
6/19/2015 16:00:00,46.1
6/22/2015 16:00:00,46.23
6/23/2015 16:00:00,45.91
6/24/2015 16:00:00,45.64
6/25/2015 16:00:00,45.65
6/26/2015 16:00:00,45.26
6/29/2015 16:00:00,44.37
6/30/2015 16:00:00,44.15
07-01-2015 16:00,44.45
07-02-2015 16:00,44.4
07-06-2015 16:00,44.39
07-07-2015 16:00,44.3
07-08-2015 16:00,44.24
07-09-2015 16:00,44.52
07-10-2015 16:00,44.61
7/13/2015 16:00:00,45.54
7/14/2015 16:00:00,45.62
7/15/2015 16:00:00,45.76
7/16/2015 16:00:00,46.66
7/17/2015 16:00:00,46.62
